"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2017"," Lei RON",2526
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2017"," Lei RON",2741
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2017"," Lei RON",2746
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2017"," Lei RON",2743
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2017"," Lei RON",2714
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2017"," Lei RON",2734
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2017"," Lei RON",2912
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2018"," Lei RON",3251
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2018"," Lei RON",3394
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2018"," Lei RON",3345
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna aprilie 2018"," Lei RON",3528
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna mai 2018"," Lei RON",3584
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2018"," Lei RON",3517
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2018"," Lei RON",3538
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2018"," Lei RON",3519
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2018"," Lei RON",3542
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2018"," Lei RON",3537
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2018"," Lei RON",4236
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2018"," Lei RON",4206
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2019"," Lei RON",3693
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2019"," Lei RON",3746
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2019"," Lei RON",3835
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna aprilie 2019"," Lei RON",4004
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna mai 2019"," Lei RON",3914
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2019"," Lei RON",4015
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2019"," Lei RON",4125
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2019"," Lei RON",4031
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2019"," Lei RON",3989
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2019"," Lei RON",4032
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2019"," Lei RON",4006
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2019"," Lei RON",4284
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2020"," Lei RON",4004
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2020"," Lei RON",4065
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2020"," Lei RON",4051
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna aprilie 2020"," Lei RON",4000
